Id,UserId,Avatar,Author,Content,ReactionsCount,Depth,SubCommentsCount,CommentAt,,,Link postingan,https://www.instagram.com/p/DD4VIkzh5ak/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
17845528515361956,49873967038,,immariam83,❤️❤️❤️,3,0,0,12/22/2024 7:12 PM,,,,https://www.instagram.com/p/DDwPwWohrDo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
17968537538816550,2288817223,,qori_cindi,Andai aku punya sahabat 1 aja kyk gini kak😢,61,0,1,12/22/2024 7:12 PM,,,,https://www.instagram.com/p/DBvUC8gT7AU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18050384732032754,17599400786,,aidahkurniawan,-@qori_cindi peluk jauh kak 😢 karna aku pun sama tidak punya 😭,8,1,0,12/22/2024 7:24 PM,,,,https://www.instagram.com/reel/DBjOyGxg1E1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18324607879087526,2668236096,,wjulianita961,Barakallah fii umrik kak kia @zaskiasungkar15,0,0,0,12/22/2024 7:12 PM,,,,https://www.instagram.com/reel/C_mPG7wS0Rf/?utm_source=ig_web_copy_link
18018268667387815,2232008571,,peggyagustien,😍😍,4,0,1,12/22/2024 7:13 PM,,,,https://www.instagram.com/reel/C_c0nlhuTUV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18472753774036795,67686412228,,tokososmed.107,-https://media0.giphy.com/media/v1.Y2lkPWFlZWNjYzExZDZ1Z3BveDhnYmJqdmZmZjB0ank5ejkxZ2VkNWkxZWE0Mnk0bWpvbyZlcD12MV9naWZzX2dpZklkJmN0PWc/9q6SVAdrHxknipT3ei/200.gif,0,1,0,12/22/2024 7:24 PM,,,,https://www.instagram.com/p/C9_dHK1BucR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18083004190564030,15927628934,,ranstory17,❤️❤️❤️,4,0,0,12/22/2024 7:14 PM,,,,https://www.instagram.com/reel/C7qtrxjPl1_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
17918031804040592,2660324581,,nyxtitirajobitang,😍,1,0,0,12/22/2024 7:14 PM,,,,https://www.instagram.com/reel/C720ZSiPViu/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18044232758472045,1443459166,,rachma.nasa,Sama ma ultahku..hari ini jg..,0,0,0,12/22/2024 7:17 PM,,,,https://www.instagram.com/p/C7i205rPpAm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18029765708196752,3662036466,,wisartisulistian,❤️❤️❤️,0,0,0,12/22/2024 7:18 PM,,,,https://www.instagram.com/reel/C5AgyFIhiqU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18051595442089551,8774390719,,yun6ki,💓,0,0,0,12/22/2024 7:19 PM,,,,https://www.instagram.com/p/C7c9F8BBfF3/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
18054176452962524,1413886148,,tiarafinindhia,❤️❤️❤️❤️❤️❤️,2,0,1,12/22/2024 7:20 PM,,,,https://www.instagram.com/p/C6yqNKzPbMJ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
